language	country	num_results	lang_gdp	lang_pop	country_gdp	country_pop	distance
ru	AO	558	15434.3521458	169970806.32	5894.617	18056072.0	10747.0613828
ru	BI	54	15434.3521458	169970806.32	614.52	10557259.0	9258.06025115
ru	BJ	32	15434.3521458	169970806.32	1481.063	9598787.0	9523.09137754
ru	BF	43	15434.3521458	169970806.32	1466.143	17275115.0	9413.79789027
ru	BW	73	15434.3521458	169970806.32	16029.809	2098018.0	11373.8251029
ru	CF	5	15434.3521458	169970806.32	767.615	5057208.0	8725.90034146
ru	CI	55	15434.3521458	169970806.32	1589.83	21952093.0	10059.2647818
ru	CM	36	15434.3521458	169970806.32	2257.125	20129878.0	9321.83501181
ru	CG	77	15434.3521458	169970806.32	4589.098	4366266.0	9829.30399951
ru	ER	73	15434.3521458	169970806.32	735.471	6086495.0	6976.69657282
ru	ET	579	15434.3521458	169970806.32	1092.629	93815992.0	7711.60662425
ru	GA	32	15434.3521458	169970806.32	1943.429	1840454.0	10009.71181
ru	GH	218	15434.3521458	169970806.32	3083.293	25241998.0	9898.62092959
ru	GN	89	15434.3521458	169970806.32	1082.635	10884958.0	10027.3994624
ru	GA	34	15434.3521458	169970806.32	1943.429	1840454.0	10009.71181
ru	GW	15	15434.3521458	169970806.32	1144.064	1628603.0	10180.448095
ru	KE	614	15434.3521458	169970806.32	1745.962	43013341.0	8401.57625377
ru	LR	114	15434.3521458	169970806.32	456.442	3887886.0	10443.0658207
ru	LS	30	15434.3521458	169970806.32	1959.77	1930493.0	11886.9204617
ru	MG	36	15434.3521458	169970806.32	933.598	22585517.0	10096.325167
ru	ML	85	15434.3521458	169970806.32	1127.518	14533511.0	9131.44655087
ru	MZ	70	15434.3521458	169970806.32	1084.899	23515934.0	10460.5315801
ru	MR	62	15434.3521458	169970806.32	2178.628	3359185.0	9242.85397608
ru	MU	30	15434.3521458	169970806.32	14954.0	1313095.0	9719.03463707
ru	MW	53	15434.3521458	169970806.32	859.851	16323044.0	10038.8561442
ru	NA	94	15434.3521458	169970806.32	7363.177	2165828.0	11739.2636116
ru	NE	107	15434.3521458	169970806.32	771.08	17078839.0	8584.41589904
ru	NG	1690	15434.3521458	169970806.32	2578.249	170123740.0	9159.27683146
ru	RW	84	15434.3521458	169970806.32	1340.532	11689696.0	9111.13426593
ru	SD	995	15434.3521458	169970806.32	2726.416	34206710.0	7366.5553748
ru	SN	104	15434.3521458	169970806.32	1870.988	12969606.0	9933.04021128
ru	SL	96	15434.3521458	169970806.32	848.816	5485998.0	10350.0869413
ru	TD	214	15434.3521458	169970806.32	1865.12	10975648.0	8070.91012476
ru	TZ	33	15434.3521458	169970806.32	1514.885	43601796.0	9246.47032495
ru	UG	118	15434.3521458	169970806.32	1317.258	35873253.0	8561.30007537
ru	ZA	1130	15434.3521458	169970806.32	10973.006	48810427.0	12043.9475552
ru	CD	84	15434.3521458	169970806.32	348.098	73599190.0	9183.63865497
ru	ZM	48	15434.3521458	169970806.32	1610.722	14309466.0	10386.6603711
ru	ZW	166	15434.3521458	169970806.32	487.197	12619600.0	10828.8975152
ru	AF	7330	15434.3521458	169970806.32	956.448	30419928.0	3891.22268016
ru	BD	532	15434.3521458	169970806.32	1692.957	161083804.0	4078.9138727
ru	BT	62	15434.3521458	169970806.32	6112.043	716896.0	3686.48570021
ru	IN	4920	15434.3521458	169970806.32	3693.529	1205073612.0	4807.68551882
ru	LK	109	15434.3521458	169970806.32	5673.689	21481334.0	6108.29284911
ru	NP	148	15434.3521458	169970806.32	1327.999	29890686.0	3760.00733157
ru	PK	3710	15434.3521458	169970806.32	2786.946	190291129.0	4015.15016384
ru	CA	4510	15434.3521458	169970806.32	40541.093	34300083.0	6602.28903282
ru	US	58517	15434.3521458	169970806.32	48386.686	313847465.0	8787.8231298
ru	AE	1327	15434.3521458	169970806.32	48157.836	5314317.0	5335.47510556
ru	DZ	1100	15434.3521458	169970806.32	7333.226	35406303.0	7713.0138905
ru	EG	1650	15434.3521458	169970806.32	6539.844	83688164.0	6333.26393367
ru	IR	16300	15434.3521458	169970806.32	13053.422	78868711.0	4624.19267257
ru	IQ	13400	15434.3521458	169970806.32	3885.623	31129225.0	5013.86492909
ru	IL	15300	15434.3521458	169970806.32	30975.092	7590758.0	5659.09935038
ru	JO	1480	15434.3521458	169970806.32	5899.677	6508887.0	5634.95442048
ru	KW	859	15434.3521458	169970806.32	41690.642	2646314.0	5132.35582485
ru	LB	2450	15434.3521458	169970806.32	15522.766	4140289.0	5389.99197026
ru	LY	568	15434.3521458	169970806.32	5786.653	6733620.0	7239.74183762
ru	MA	753	15434.3521458	169970806.32	5052.25	32309239.0	7737.4754436
ru	OM	174	15434.3521458	169970806.32	26519.429	3090150.0	5486.60516643
ru	QA	1210	15434.3521458	169970806.32	102943.321	1951591.0	5328.2109811
ru	SA	3070	15434.3521458	169970806.32	24237.401	26534504.0	5700.58555058
ru	TN	207	15434.3521458	169970806.32	9477.511	10732900.0	6841.48934049
ru	YE	183	15434.3521458	169970806.32	2306.695	24771809.0	6490.13521944
ru	AR	2080	15434.3521458	169970806.32	17516.147	42192494.0	16904.0674825
ru	BO	541	15434.3521458	169970806.32	4789.212	10290003.0	15088.1269995
ru	BR	4670	15434.3521458	169970806.32	11769.411	205716890.0	14085.0977369
ru	CL	1210	15434.3521458	169970806.32	17221.689	17067369.0	16617.1395944
ru	CO	1300	15434.3521458	169970806.32	10248.589	45239079.0	12868.2870719
ru	CR	41	15434.3521458	169970806.32	11927.454	4636348.0	12227.148723
ru	DO	126	15434.3521458	169970806.32	9286.724	10088598.0	11193.6053827
ru	EC	531	15434.3521458	169970806.32	8492.429	15223680.0	13566.4661967
ru	GT	1290	15434.3521458	169970806.32	5069.694	14099032.0	11572.9518805
