date_period,orig_country,orig_lang,dest_country,num_results
2010,ru,ru,Angola,1370
2010,ru,ru,Burundi,119
2010,ru,ru,Benin,87
2010,ru,ru,Burkina Faso,162
2010,ru,ru,Botswana,206
2010,ru,ru,Central African Republic,12
2010,ru,ru,Cote d'Ivoire,950
2010,ru,ru,Cameroon,1750
2010,ru,ru,Republic of the Congo,455
2010,ru,ru,Eritrea,108
2010,ru,ru,Ethiopia,1160
2010,ru,ru,Gabon,146
2010,ru,ru,Ghana,2790
2010,ru,ru,Guinea,539
2010,ru,ru,Gambia,71
2010,ru,ru,Guinea-Bissau,31
2010,ru,ru,Kenya,1860
2010,ru,ru,Liberia,1220
2010,ru,ru,Lesotho,53
2010,ru,ru,Madagascar,191
2010,ru,ru,Mali,614
2010,ru,ru,Mozambique,178
2010,ru,ru,Mauritania,135
2010,ru,ru,Mauritius,127
2010,ru,ru,Malawi,143
2010,ru,ru,Namibia,175
2010,ru,ru,Niger,781
2010,ru,ru,Nigeria,4640
2010,ru,ru,Rwanda,188
2010,ru,ru,Sudan,2600
2010,ru,ru,Senegal,88
2010,ru,ru,Sierra Leone,604
2010,ru,ru,Somalia,3780
2010,ru,ru,Chad,1210
2010,ru,ru,Tanzania,589
2010,ru,ru,Uganda,803
2010,ru,ru,South Africa,5000
2010,ru,ru,Democratic Republic of the Congo,472
2010,ru,ru,Zambia,141
2010,ru,ru,Zimbabwe,1120
2010,ru,ru,Afghanistan,25500
2010,ru,ru,Bangladesh,1360
2010,ru,ru,Bhutan,161
2010,ru,ru,India,15900
2010,ru,ru,Sri Lanka,753
2010,ru,ru,Nepal,1260
2010,ru,ru,Pakistan,8330
2010,ru,ru,Canada,18400
2010,ru,ru,United States,146212
2010,ru,ru,United Arab Emirates,4210
2010,ru,ru,Algeria,3110
2010,ru,ru,Egypt,5280
2010,ru,ru,Iran,28300
2010,ru,ru,Iraq,12500
2010,ru,ru,Israel,32400
2010,ru,ru,Jordan,2200
2010,ru,ru,Kuwait,1810
2010,ru,ru,Lebanon,4050
2010,ru,ru,Libya,2800
2010,ru,ru,Morocco,2110
2010,ru,ru,Oman,913
2010,ru,ru,Qatar,4010
2010,ru,ru,Saudi Arabia,5510
2010,ru,ru,Syria,4490
2010,ru,ru,Tunisia,1450
2010,ru,ru,West Bank,3193
2010,ru,ru,Yemen,2400
2010,ru,ru,Argentina,10400
2010,ru,ru,Bolivia,1050
2010,ru,ru,Brazil,18600
2010,ru,ru,Chile,7100
2010,ru,ru,Colombia,4650
2010,ru,ru,Costa Rica,113
2010,ru,ru,Cuba,4790
2010,ru,ru,Dominican Republic,1910
2010,ru,ru,Ecuador,2420
2010,ru,ru,Guatemala,1030
2010,ru,ru,Honduras,1400
2010,ru,ru,Haiti,6700
2010,ru,ru,Jamaica,829
2010,ru,ru,Mexico,9100
2010,ru,ru,Nicaragua,1570
2010,ru,ru,Panama,1400
2010,ru,ru,Peru,2960
2010,ru,ru,Puerto Rico,659
2010,ru,ru,Paraguay,1870
2010,ru,ru,El Salvador,766
2010,ru,ru,Uruguay,4000
2010,ru,ru,Venezuela,8800
2010,ru,ru,Albania,1800
2010,ru,ru,Armenia,48100
2010,ru,ru,Austria,12100
2010,ru,ru,Azerbaijan,44800
2010,ru,ru,Belgium,13700
2010,ru,ru,Bulgaria,12100
2010,ru,ru,Bosnia and Herzegovina,638
2010,ru,ru,Belarus,44900
2010,ru,ru,Switzerland,18200
2010,ru,ru,Czech Republic,13600
2010,ru,ru,Germany,77100
2010,ru,ru,Denmark,9170
2010,ru,ru,Spain,35600
2010,ru,ru,Estonia,12600
2010,ru,ru,Finland,16900
2010,ru,ru,France,61000
2010,ru,ru,United Kingdom,50000
2010,ru,ru,Georgia,46500
2010,ru,ru,Greece,27700
2010,ru,ru,Greenland,524
2010,ru,ru,Croatia,5080
2010,ru,ru,Hungary,10900
2010,ru,ru,Ireland,12100
2010,ru,ru,Italy,36000
2010,ru,ru,Kazakhstan,62800
2010,ru,ru,Kyrgyzstan,10200
2010,ru,ru,Lithuania,9400
2010,ru,ru,Macedonia,3120
2010,ru,ru,Netherlands,12200
2010,ru,ru,Norway,12100
2010,ru,ru,Poland,24900
2010,ru,ru,Portugal,13600
2010,ru,ru,Romania,13000
2010,ru,ru,Russia,696000
2010,ru,ru,Serbia,7440
2010,ru,ru,Slovakia,10100
2010,ru,ru,Slovenia,4760
2010,ru,ru,Sweden,16800
2010,ru,ru,Tajikistan,14600
2010,ru,ru,Turkmenistan,4920
2010,ru,ru,Turkey,41700
2010,ru,ru,Ukraine,207000
2010,ru,ru,Uzbekistan,16000
2010,ru,ru,Australia,17400
2010,ru,ru,China,32800
2010,ru,ru,Hong Kong,5680
2010,ru,ru,Indonesia,1580
2010,ru,ru,Japan,33600
2010,ru,ru,Cambodia,1570
2010,ru,ru,South Korea,15200
2010,ru,ru,Laos,530
2010,ru,ru,Macau,174
2010,ru,ru,Myanmar,152
2010,ru,ru,Mongolia,2490
2010,ru,ru,Malaysia,3540
2010,ru,ru,New Zealand,4660
2010,ru,ru,Philippines,2730
2010,ru,ru,Papua New Guinea,81
2010,ru,ru,North Korea,7680
2010,ru,ru,Singapore,6840
2010,ru,ru,Thailand,9040
2010,ru,ru,Vietnam,5570
2010,ru,ru,Taiwan,3580
2010,ru,ru,French Guiana,102
2010,ru,ru,South Sudan,526
2010,fr,fr,Angola,9220
2010,fr,fr,Burundi,2040
2010,fr,fr,Benin,5700
2010,fr,fr,Burkina Faso,15200
2010,fr,fr,Botswana,979
2010,fr,fr,Central African Republic,2130
2010,fr,fr,Cote d'Ivoire,35950
2010,fr,fr,Cameroon,15600
2010,fr,fr,Republic of the Congo,4155
2010,fr,fr,Eritrea,552
2010,fr,fr,Ethiopia,2370
2010,fr,fr,Gabon,7890
2010,fr,fr,Ghana,9090
