language	country	num_results	lang_gdp	lang_pop	country_gdp	country_pop	distance
fr	AO	9220	10881.8432705	305491351.272	5894.617	18056072.0	1564.45848141
fr	BI	2040	10881.8432705	305491351.272	614.52	10557259.0	678.582939624
fr	BJ	5700	10881.8432705	305491351.272	1481.063	9598787.0	2731.39017154
fr	BF	15200	10881.8432705	305491351.272	1466.143	17275115.0	3309.4565019
fr	BW	979	10881.8432705	305491351.272	16029.809	2098018.0	2449.45762665
fr	CF	2130	10881.8432705	305491351.272	767.615	5057208.0	896.213549531
fr	CI	35950	10881.8432705	305491351.272	1589.83	21952093.0	3442.80033359
fr	CM	15600	10881.8432705	305491351.272	2257.125	20129878.0	1590.15741873
fr	CG	4155	10881.8432705	305491351.272	4589.098	4366266.0	1117.78968167
fr	ER	552	10881.8432705	305491351.272	735.471	6086495.0	2269.97129724
fr	ET	2370	10881.8432705	305491351.272	1092.629	93815992.0	1693.82457273
fr	GA	7890	10881.8432705	305491351.272	1943.429	1840454.0	1477.91179991
fr	GH	9090	10881.8432705	305491351.272	3083.293	25241998.0	3122.736805
fr	GN	11700	10881.8432705	305491351.272	1082.635	10884958.0	4057.26265073
fr	GA	1380	10881.8432705	305491351.272	1943.429	1840454.0	1477.91179991
fr	GW	1360	10881.8432705	305491351.272	1144.064	1628603.0	4612.68223577
fr	KE	3790	10881.8432705	305491351.272	1745.962	43013341.0	1450.18614092
fr	LR	1270	10881.8432705	305491351.272	456.442	3887886.0	3896.6366518
fr	LS	170	10881.8432705	305491351.272	1959.77	1930493.0	3299.35142623
fr	MG	5420	10881.8432705	305491351.272	933.598	22585517.0	3269.45579445
fr	ML	11200	10881.8432705	305491351.272	1127.518	14533511.0	3697.03378195
fr	MZ	1880	10881.8432705	305491351.272	1084.899	23515934.0	2305.574076
fr	MR	5810	10881.8432705	305491351.272	2178.628	3359185.0	4601.43677413
fr	MU	9870	10881.8432705	305491351.272	14954.0	1313095.0	4203.25302919
fr	MW	2380	10881.8432705	305491351.272	859.851	16323044.0	1799.52900197
fr	NA	1050	10881.8432705	305491351.272	7363.177	2165828.0	2596.25630925
fr	NE	7540	10881.8432705	305491351.272	771.08	17078839.0	2578.52874485
fr	NG	9390	10881.8432705	305491351.272	2578.249	170123740.0	2185.43915886
fr	RW	4850	10881.8432705	305491351.272	1340.532	11689696.0	598.886048592
fr	SD	5960	10881.8432705	305491351.272	2726.416	34206710.0	1862.38212143
fr	SN	18300	10881.8432705	305491351.272	1870.988	12969606.0	4566.7160047
fr	SL	1570	10881.8432705	305491351.272	848.816	5485998.0	4153.56405298
fr	TD	3420	10881.8432705	305491351.272	1865.12	10975648.0	1794.12430197
fr	TG	7190	10881.8432705	305491351.272	898.663	6961049.0	2788.05180925
fr	TZ	2940	10881.8432705	305491351.272	1514.885	43601796.0	1295.40237291
fr	UG	2610	10881.8432705	305491351.272	1317.258	35873253.0	917.049131533
fr	ZA	49100	10881.8432705	305491351.272	10973.006	48810427.0	3338.57580866
fr	CD	4263	10881.8432705	305491351.272	348.098	73599190.0	59.8886048592
