date_period,orig_country,orig_lang,dest_country,num_results
2012,kr,ko,Angola,13800
2012,kr,ko,Burundi,1500
2012,kr,ko,Benin,199
2012,kr,ko,Burkina Faso,526
2012,kr,ko,Botswana,2700
2012,kr,ko,Central African Republic,667
2012,kr,ko,Cote d'Ivoire,6850
2012,kr,ko,Cameroon,9040
2012,kr,ko,Republic of the Congo,964
2012,kr,ko,Eritrea,161
2012,kr,ko,Ethiopia,4220
2012,kr,ko,Gabon,1050
2012,kr,ko,Ghana,31900
2012,kr,ko,Guinea,1280
2012,kr,ko,Gambia,1690
2012,kr,ko,Guinea-Bissau,51
2012,kr,ko,Kenya,20800
2012,kr,ko,Liberia,870
2012,kr,ko,Lesotho,108
2012,kr,ko,Madagascar,909
2012,kr,ko,Mali,4790
2012,kr,ko,Mozambique,3530
2012,kr,ko,Mauritania,136
2012,kr,ko,Mauritius,209
2012,kr,ko,Malawi,5720
2012,kr,ko,Namibia,640
2012,kr,ko,Niger,1450
2012,kr,ko,Nigeria,44000
2012,kr,ko,Rwanda,1450
2012,kr,ko,Sudan,0
2012,kr,ko,Senegal,11800
2012,kr,ko,Sierra Leone,560
2012,kr,ko,Somalia,9880
2012,kr,ko,Chad,1020
2012,kr,ko,Togo,5000
2012,kr,ko,Tanzania,9260
2012,kr,ko,Uganda,2150
2012,kr,ko,South Africa,27000
2012,kr,ko,Democratic Republic of the Congo,587
2012,kr,ko,Zambia,5290
2012,kr,ko,Zimbabwe,8770
2012,kr,ko,Afghanistan,26300
2012,kr,ko,Bangladesh,15200
2012,kr,ko,Bhutan,0
2012,kr,ko,India,301000
2012,kr,ko,Sri Lanka,18100
2012,kr,ko,Nepal,12400
2012,kr,ko,Pakistan,20500
2012,kr,ko,Canada,228000
2012,kr,ko,United States,926000
2012,kr,ko,United Arab Emirates,37050
2012,kr,ko,Algeria,11100
2012,kr,ko,Egypt,28400
2012,kr,ko,Iran,396000
2012,kr,ko,Iraq,55300
2012,kr,ko,Israel,99100
2012,kr,ko,Jordan,68400
2012,kr,ko,Kuwait,20600
2012,kr,ko,Lebanon,26700
2012,kr,ko,Libya,26600
2012,kr,ko,Morocco,10600
2012,kr,ko,Oman,0
2012,kr,ko,Qatar,41000
2012,kr,ko,Saudi Arabia,27000
2012,kr,ko,Syria,52100
2012,kr,ko,Tunisia,6670
2012,kr,ko,West Bank,8530
2012,kr,ko,Yemen,18500
2012,kr,ko,Argentina,118000
2012,kr,ko,Bolivia,20700
2012,kr,ko,Brazil,157000
2012,kr,ko,Chile,69300
2012,kr,ko,Colombia,0
2012,kr,ko,Costa Rica,14200
2012,kr,ko,Cuba,12600
2012,kr,ko,Dominican Republic,21
2012,kr,ko,Ecuador,25700
2012,kr,ko,Guatemala,4020
2012,kr,ko,Honduras,14400
2012,kr,ko,Haiti,10100
2012,kr,ko,Jamaica,13000
2012,kr,ko,Mexico,131000
2012,kr,ko,Nicaragua,8860
2012,kr,ko,Panama,4980
2012,kr,ko,Peru,9570
2012,kr,ko,Puerto Rico,80
2012,kr,ko,Paraguay,7400
2012,kr,ko,El Salvador,31400
2012,kr,ko,Uruguay,27400
2012,kr,ko,Venezuela,47000
2012,kr,ko,Albania,705
2012,kr,ko,Armenia,1110
2012,kr,ko,Austria,39100
2012,kr,ko,Azerbaijan,0
2012,kr,ko,Belgium,30800
2012,kr,ko,Bulgaria,14800
2012,kr,ko,Bosnia and Herzegovina,962
2012,kr,ko,Belarus,0
2012,kr,ko,Switzerland,70500
2012,kr,ko,Czech Republic,641
2012,kr,ko,Germany,441000
2012,kr,ko,Denmark,30300
2012,kr,ko,Spain,131000
2012,kr,ko,Estonia,1920
2012,kr,ko,Finland,13800
2012,kr,ko,France,451000
2012,kr,ko,United Kingdom,390000
2012,kr,ko,Georgia,5630
2012,kr,ko,Greece,55200
2012,kr,ko,Greenland,2990
2012,kr,ko,Croatia,6350
2012,kr,ko,Hungary,17800
2012,kr,ko,Ireland,129000
2012,kr,ko,Italy,149000
2012,kr,ko,Kazakhstan,0
2012,kr,ko,Kyrgyzstan,146
2012,kr,ko,Lithuania,4360
2012,kr,ko,Macedonia,3620
2012,kr,ko,Netherlands,50200
2012,kr,ko,Norway,29400
2012,kr,ko,Poland,18100
2012,kr,ko,Portugal,83700
2012,kr,ko,Romania,7400
2012,kr,ko,Russia,293000
2012,kr,ko,Serbia,9140
2012,kr,ko,Slovakia,6960
2012,kr,ko,Slovenia,6610
2012,kr,ko,Sweden,50600
2012,kr,ko,Tajikistan,2470
2012,kr,ko,Turkmenistan,2910
2012,kr,ko,Turkey,70200
2012,kr,ko,Ukraine,27500
2012,kr,ko,Uzbekistan,0
2012,kr,ko,Australia,294000
2012,kr,ko,China,660000
2012,kr,ko,Hong Kong,161000
2012,kr,ko,Indonesia,107000
2012,kr,ko,Japan,842000
2012,kr,ko,Cambodia,17500
2012,kr,ko,South Korea,1230000
2012,kr,ko,Laos,5320
2012,kr,ko,Macau,12000
2012,kr,ko,Myanmar,11000
2012,kr,ko,Mongolia,20900
2012,kr,ko,Malaysia,72400
2012,kr,ko,New Zealand,71800
2012,kr,ko,Philippines,62300
2012,kr,ko,Papua New Guinea,911
2012,kr,ko,North Korea,693000
2012,kr,ko,Singapore,91600
2012,kr,ko,Thailand,87200
2012,kr,ko,Vietnam,89300
2012,kr,ko,Taiwan,206000
2012,kr,ko,French Guiana,74
2012,kr,ko,South Sudan,1940
2012,ru,ru,Angola,1040
2012,ru,ru,Burundi,175
2012,ru,ru,Benin,277
2012,ru,ru,Burkina Faso,366
2012,ru,ru,Botswana,2610
2012,ru,ru,Central African Republic,77
2012,ru,ru,Cote d'Ivoire,165
2012,ru,ru,Cameroon,2690
2012,ru,ru,Republic of the Congo,395
2012,ru,ru,Eritrea,1020
2012,ru,ru,Ethiopia,1170
2012,ru,ru,Gabon,191
2012,ru,ru,Ghana,985
2012,ru,ru,Guinea,482
2012,ru,ru,Gambia,1670
2012,ru,ru,Guinea-Bissau,227
2012,ru,ru,Kenya,1890
2012,ru,ru,Liberia,289
2012,ru,ru,Lesotho,75
2012,ru,ru,Madagascar,3400
2012,ru,ru,Mali,3720
2012,ru,ru,Mozambique,304
2012,ru,ru,Mauritania,3100
2012,ru,ru,Mauritius,377
2012,ru,ru,Malawi,217
2012,ru,ru,Namibia,3470
2012,ru,ru,Niger,824
2012,ru,ru,Nigeria,30200
2012,ru,ru,Rwanda,253
2012,ru,ru,Sudan,1500
2012,ru,ru,Senegal,394
2012,ru,ru,Sierra Leone,266
2012,ru,ru,Somalia,2220
2012,ru,ru,Chad,1420
2012,ru,ru,Togo,273000
2012,ru,ru,Tanzania,7260
2012,ru,ru,Uganda,399
2012,ru,ru,South Africa,3700
2012,ru,ru,Democratic Republic of the Congo,180
2012,ru,ru,Zambia,284
2012,ru,ru,Zimbabwe,1110
2012,ru,ru,Afghanistan,17900
2012,ru,ru,Bangladesh,1290
2012,ru,ru,Bhutan,398
2012,ru,ru,India,13300
2012,ru,ru,Sri Lanka,318
2012,ru,ru,Nepal,438
2012,ru,ru,Pakistan,5850
2012,ru,ru,Canada,13400
2012,ru,ru,United States,138322
2012,ru,ru,United Arab Emirates,3825
2012,ru,ru,Algeria,2680
2012,ru,ru,Egypt,4710
2012,ru,ru,Iran,26600
2012,ru,ru,Iraq,9670
2012,ru,ru,Israel,92900
2012,ru,ru,Jordan,2100
2012,ru,ru,Kuwait,2390
2012,ru,ru,Lebanon,3280
2012,ru,ru,Libya,11500
2012,ru,ru,Morocco,2430
2012,ru,ru,Oman,1330
2012,ru,ru,Qatar,5170
2012,ru,ru,Saudi Arabia,6940
2012,ru,ru,Syria,21200
2012,ru,ru,Tunisia,3740
2012,ru,ru,West Bank,2503
2012,ru,ru,Yemen,2990
2012,ru,ru,Argentina,5240
2012,ru,ru,Bolivia,330
2012,ru,ru,Brazil,12500
2012,ru,ru,Chile,2990
2012,ru,ru,Colombia,53200
2012,ru,ru,Costa Rica,141
2012,ru,ru,Cuba,4840
2012,ru,ru,Dominican Republic,893
2012,ru,ru,Ecuador,1340
2012,ru,ru,Guatemala,11500
2012,ru,ru,Honduras,9870
2012,ru,ru,Haiti,7170
2012,ru,ru,Jamaica,442
2012,ru,ru,Mexico,6080
2012,ru,ru,Nicaragua,8350
2012,ru,ru,Panama,946
2012,ru,ru,Peru,2660
2012,ru,ru,Puerto Rico,351
2012,ru,ru,Paraguay,385
2012,ru,ru,El Salvador,32000
2012,ru,ru,Uruguay,1100
2012,ru,ru,Venezuela,4950
2012,ru,ru,Albania,1550
2012,ru,ru,Armenia,22600
2012,ru,ru,Austria,11800
2012,ru,ru,Azerbaijan,27000
2012,ru,ru,Belgium,8310
2012,ru,ru,Bulgaria,9170
2012,ru,ru,Bosnia and Herzegovina,462
2012,ru,ru,Belarus,63900
2012,ru,ru,Switzerland,14300
2012,ru,ru,Czech Republic,14200
2012,ru,ru,Germany,122000
2012,ru,ru,Denmark,7360
2012,ru,ru,Spain,26900
2012,ru,ru,Estonia,14800
2012,ru,ru,Finland,14300
2012,ru,ru,France,163000
2012,ru,ru,United Kingdom,39500
2012,ru,ru,Georgia,75600
2012,ru,ru,Greece,26100
2012,ru,ru,Greenland,3060
2012,ru,ru,Croatia,4220
2012,ru,ru,Hungary,8510
2012,ru,ru,Ireland,6380
2012,ru,ru,Italy,37300
2012,ru,ru,Kazakhstan,53500
2012,ru,ru,Kyrgyzstan,9060
2012,ru,ru,Lithuania,8420
2012,ru,ru,Macedonia,2670
2012,ru,ru,Netherlands,8990
2012,ru,ru,Norway,10100
2012,ru,ru,Poland,15700
2012,ru,ru,Portugal,9910
2012,ru,ru,Romania,9410
2012,ru,ru,Russia,261000
2012,ru,ru,Serbia,5470
2012,ru,ru,Slovakia,9580
2012,ru,ru,Slovenia,4210
2012,ru,ru,Sweden,13500
2012,ru,ru,Tajikistan,12000
2012,ru,ru,Turkmenistan,4260
2012,ru,ru,Turkey,65200
2012,ru,ru,Ukraine,146000
2012,ru,ru,Uzbekistan,13700
2012,ru,ru,Australia,117000
2012,ru,ru,China,161000
2012,ru,ru,Hong Kong,41200
2012,ru,ru,Indonesia,5090
2012,ru,ru,Japan,28200
2012,ru,ru,Cambodia,1110
2012,ru,ru,South Korea,9870
2012,ru,ru,Laos,360
2012,ru,ru,Macau,216
2012,ru,ru,Myanmar,238
2012,ru,ru,Mongolia,2990
2012,ru,ru,Malaysia,3980
2012,ru,ru,New Zealand,3270
2012,ru,ru,Philippines,22700
2012,ru,ru,Papua New Guinea,66
2012,ru,ru,North Korea,5790
2012,ru,ru,Singapore,41400
2012,ru,ru,Thailand,7400
2012,ru,ru,Vietnam,4430
2012,ru,ru,Taiwan,2340
2012,ru,ru,French Guiana,153
2012,ru,ru,South Sudan,373
2012,fr,fr,Angola,14600
2012,fr,fr,Burundi,1880
2012,fr,fr,Benin,4900
2012,fr,fr,Burkina Faso,9270
2012,fr,fr,Botswana,1170
2012,fr,fr,Central African Republic,712
2012,fr,fr,Cote d'Ivoire,16350
2012,fr,fr,Cameroon,5210
2012,fr,fr,Republic of the Congo,1969
2012,fr,fr,Eritrea,231
2012,fr,fr,Ethiopia,1880
2012,fr,fr,Gabon,5860
2012,fr,fr,Ghana,13800
2012,fr,fr,Guinea,8500
2012,fr,fr,Gambia,1280
2012,fr,fr,Guinea-Bissau,2220
2012,fr,fr,Kenya,15200
2012,fr,fr,Liberia,3220
2012,fr,fr,Lesotho,543
2012,fr,fr,Madagascar,6050
2012,fr,fr,Mali,33100
2012,fr,fr,Mozambique,3150
2012,fr,fr,Mauritania,3390
2012,fr,fr,Mauritius,20000
2012,fr,fr,Malawi,4770
2012,fr,fr,Namibia,349
2012,fr,fr,Niger,8350
2012,fr,fr,Nigeria,30800
2012,fr,fr,Rwanda,5020
2012,fr,fr,Sudan,5580
2012,fr,fr,Senegal,19200
2012,fr,fr,Sierra Leone,2400
2012,fr,fr,Somalia,2660
2012,fr,fr,Chad,2530
2012,fr,fr,Togo,4100
2012,fr,fr,Tanzania,1190
2012,fr,fr,Uganda,1230
2012,fr,fr,South Africa,17900
2012,fr,fr,Democratic Republic of the Congo,1940
2012,fr,fr,Zambia,2830
2012,fr,fr,Zimbabwe,7800
2012,fr,fr,Afghanistan,69800
2012,fr,fr,Bangladesh,9450
2012,fr,fr,Bhutan,84
2012,fr,fr,India,20200
2012,fr,fr,Sri Lanka,13900
2012,fr,fr,Nepal,5870
2012,fr,fr,Pakistan,60600
2012,fr,fr,Canada,125000
2012,fr,fr,United States,80845
2012,fr,fr,United Arab Emirates,2430
2012,fr,fr,Algeria,25400
2012,fr,fr,Egypt,12500
2012,fr,fr,Iran,11900
2012,fr,fr,Iraq,24200
2012,fr,fr,Israel,86900
2012,fr,fr,Jordan,2810
2012,fr,fr,Kuwait,1610
2012,fr,fr,Lebanon,8870
2012,fr,fr,Libya,12300
2012,fr,fr,Morocco,21500
2012,fr,fr,Oman,8930
2012,fr,fr,Qatar,22500
2012,fr,fr,Saudi Arabia,5990
2012,fr,fr,Syria,19700
2012,fr,fr,Tunisia,19300
2012,fr,fr,West Bank,6203
2012,fr,fr,Yemen,15200
2012,fr,fr,Argentina,14600
2012,fr,fr,Bolivia,850
2012,fr,fr,Brazil,13500
2012,fr,fr,Chile,11900
2012,fr,fr,Colombia,4880
2012,fr,fr,Costa Rica,10700
2012,fr,fr,Cuba,64700
2012,fr,fr,Dominican Republic,864
2012,fr,fr,Ecuador,1230
2012,fr,fr,Guatemala,11200
2012,fr,fr,Honduras,9570
2012,fr,fr,Haiti,15400
2012,fr,fr,Jamaica,378
2012,fr,fr,Mexico,9390
2012,fr,fr,Nicaragua,7460
2012,fr,fr,Panama,15300
2012,fr,fr,Peru,2150
2012,fr,fr,Puerto Rico,10500
2012,fr,fr,Paraguay,9050
2012,fr,fr,El Salvador,19000
2012,fr,fr,Uruguay,16300
2012,fr,fr,Venezuela,49300
2012,fr,fr,Albania,263
2012,fr,fr,Armenia,710
2012,fr,fr,Austria,6100
2012,fr,fr,Azerbaijan,1310
2012,fr,fr,Belgium,23500
2012,fr,fr,Bulgaria,2310
2012,fr,fr,Bosnia and Herzegovina,272
2012,fr,fr,Belarus,691
2012,fr,fr,Switzerland,47700
2012,fr,fr,Czech Republic,3810
2012,fr,fr,Germany,42000
2012,fr,fr,Denmark,7870
2012,fr,fr,Spain,30300
2012,fr,fr,Estonia,896
2012,fr,fr,Finland,3410
2012,fr,fr,France,281000
2012,fr,fr,United Kingdom,15700
2012,fr,fr,Georgia,4210
2012,fr,fr,Greece,18300
2012,fr,fr,Greenland,308
2012,fr,fr,Croatia,2480
2012,fr,fr,Hungary,3890
2012,fr,fr,Ireland,9390
2012,fr,fr,Italy,33500
2012,fr,fr,Kazakhstan,7470
2012,fr,fr,Kyrgyzstan,134
2012,fr,fr,Lithuania,1080
2012,fr,fr,Macedonia,792
2012,fr,fr,Netherlands,10700
2012,fr,fr,Norway,4920
2012,fr,fr,Poland,7750
2012,fr,fr,Portugal,60800
2012,fr,fr,Romania,4110
2012,fr,fr,Russia,37200
2012,fr,fr,Serbia,6760
2012,fr,fr,Slovakia,2170
2012,fr,fr,Slovenia,1920
2012,fr,fr,Sweden,8200
2012,fr,fr,Tajikistan,220
2012,fr,fr,Turkmenistan,1840
2012,fr,fr,Turkey,11900
2012,fr,fr,Ukraine,20500
2012,fr,fr,Uzbekistan,293
2012,fr,fr,Australia,15900
2012,fr,fr,China,39000
2012,fr,fr,Hong Kong,46600
2012,fr,fr,Indonesia,3420
2012,fr,fr,Japan,35700
2012,fr,fr,Cambodia,1360
2012,fr,fr,South Korea,7860
2012,fr,fr,Laos,3950
2012,fr,fr,Macau,1110
2012,fr,fr,Myanmar,9280
2012,fr,fr,Mongolia,369
2012,fr,fr,Malaysia,3440
2012,fr,fr,New Zealand,5150
2012,fr,fr,Philippines,21400
2012,fr,fr,Papua New Guinea,181
2012,fr,fr,North Korea,5100
2012,fr,fr,Singapore,3870
2012,fr,fr,Thailand,4050
2012,fr,fr,Vietnam,59000
2012,fr,fr,Taiwan,35700
2012,fr,fr,French Guiana,357
2012,fr,fr,South Sudan,292
2012,cn,zh-zh-TW,Angola,1030
2012,cn,zh-zh-TW,Burundi,107
2012,cn,zh-zh-TW,Benin,448
2012,cn,zh-zh-TW,Burkina Faso,597
2012,cn,zh-zh-TW,Botswana,290
2012,cn,zh-zh-TW,Central African Republic,3160
2012,cn,zh-zh-TW,Cote d'Ivoire,1330
2012,cn,zh-zh-TW,Cameroon,730
2012,cn,zh-zh-TW,Republic of the Congo,126
2012,cn,zh-zh-TW,Eritrea,95
2012,cn,zh-zh-TW,Ethiopia,971
2012,cn,zh-zh-TW,Gabon,178
2012,cn,zh-zh-TW,Ghana,9350
2012,cn,zh-zh-TW,Guinea,1810
2012,cn,zh-zh-TW,Gambia,110
