language	gdp	population	latitude	longitude
el	26773.3223835	11623064.988	39.0	22.0
xh	10973.006	8610159.3228	-30.0	26.0
en	25608.9851135	699517110.371	39.828175	-98.5795
af	10920.9747778	6611488.4365	-30.0	26.0
vi	3358.671	91519289.0	16.166667	107.833333
ca	30625.747	7997307.28	40.0	-4.0
am	1092.629	30677829.384	8.0	38.0
it	30202.3555627	64234849.88	42.833333	12.833333
cs	27062.243	10177300.0	49.75	15.0
cy	36089.595	756565.944	54.0	-4.0
ar	8807.94629342	302502154.684	27.0	30.0
km	2215.691	14205031.75	13.0	105.0
ga	39638.6	236101.4	53.0	-8.0
zu	10973.006	11631524.7541	-30.0	26.0
ay	4789.212	1502340.438	-17.0	-65.0
et	20379.764	892296.3	59.0	26.0
gl	30625.747	3293008.88	40.0	-4.0
es	16841.7486606	394839216.769	23.0	-102.0
ru	15434.3521458	169970806.32	60.0	100.0
az	10201.604	8572720.8	40.5	47.5
lb	80119.084	391986.98	49.75	6.166667
pt	11727.3772007	235794758.538	-10.0	-55.0
ko	31713.669	48860500.0	37.0	127.5
lo	2658.929	6586266.0	18.0	105.0
eu	30625.747	940859.68	40.0	-4.0
nso	10973.006	4583299.0953	-30.0	26.0
tr	14569.8312306	72814129.829	39.059012	34.911546
lv	15662.381	1275499.56	57.0	25.0
lt	18752.9302167	2914846.74	56.0	24.0
pa	3031.50578618	125081803.056	30.0	70.0
tk	7846.351	3639476.16	40.0	60.0
th	9396.242	67091089.0	15.0	100.0
bm	1127.518	11626808.8	17.0	-4.0
tg	2237.76077377	9017728.92	39.0	71.0
ro	11346.8370099	22781130.4731	46.0	25.0
is	38060.836	313183.0	65.0	-18.0
fil	4072.879	57076251.1	13.0	122.0
ta	3795.66287153	74965983.228	20.0	77.0
mn	4743.748	3179997.0	46.0	105.0
be	15028.295	3502238.061	53.0	28.0
fr	10881.8432705	305491351.272	0.0	25.0
bg	13526.2323741	5988743.0852	43.0	25.0
ku	11183.9868597	26784554.86	32.0	53.0
mr	3693.529	84355152.84	20.0	77.0
hr-sr	13276.2219431	13732776.39	44.0	21.0
bn	2457.33401614	255473090.492	24.0	90.0
de	38280.689953	94408280.094	51.5	10.5
ka	5491.091	3656747.2	41.999981	43.499905
ht	3247.11805836	8582028.498	19.0	-72.416667
da	37151.508	5543453.0	56.0	10.0
zh-zh-TW	9163.33897438	1375642862.38	35.0	105.0
hi	3694.3629157	494525209.42	20.0	77.0
dv	8731.249	374728.45	3.2	73.0
fi	36235.97	4999783.5	64.0	26.0
hy	5593.97259869	3501671.015	40.0	45.0
hu	18576.887979	11729970.476	47.0	20.0
ja	34739.655	127368088.0	36.0	138.0
he	30975.092	6072606.4	31.5	34.75
om	1092.629	29645853.472	8.0	38.0
te	3693.529	86765300.064	20.0	77.0
qu	4789.212	2181480.636	-17.0	-65.0
id-ms	6010.07122475	278478016.454	-5.0	120.0
fa	10579.096632	74361497.25	32.0	53.0
kk	13001.396	10513206.0	48.0	68.0
ml	3693.529	38562355.584	20.0	77.0
sq	8147.95815617	3375390.92	41.0	20.0
uz	3363.64343221	22299366.492	41.707542	63.84911
sw	1537.16029537	102350891.6	-6.0	35.0
sv	40276.7612594	9366934.5	62.0	15.0
mk	10366.766	1384776.05	41.833333	22.0
ur	3510.6761902	75476970.92	20.0	77.0
sk	23303.874	4934779.2	48.666667	19.5
mt	25428.08	369672.072	35.916667	14.433333
si	5673.689	15896187.16	7.0	81.0
gd	36089.595	1576179.05	54.0	-4.0
pl	20320.4496641	37922723.852	52.0	20.0
uk	7215.15270482	30193012.0055	49.0	32.0
sl	28641.568	1996617.0	46.25	15.166667
ky	2372.405	3556388.839	41.0	75.0
nl	40222.9083061	23553800.8	52.5	5.75
my	1324.627	36407961.55	22.0	98.0
nb	53470.697	4707270.0	62.0	10.0
